module	term	meaning	use	phase
perception	分类 / 检测 / 分割	分类判断是什么，检测定位对象，分割判断像素属于哪个类别或实例。	有车、车在哪里、哪些像素属于车。	4
perception	OCR 光学字符识别	把图像中的字符转换为可处理的文本；版面、表格和语义理解通常还需其他步骤。	提取票据、截图、扫描文件中的文字。	4
perception	NLP 自然语言处理	对人类语言进行表示、分析与生成的技术领域。	摘要、分类、翻译、问答。	5
perception	Tokenization 分词与标记化	把文本转换为模型使用的 token 序列；token 不一定对应一个字或一个单词。	准备模型输入并计算上下文长度。	5
perception	TF-IDF	结合词在单篇文档中的频率与其在文档集合中的稀有程度来表示词的重要性。	建立容易解释的关键词检索基线。	5
perception	Embedding 嵌入表示	把文本、图像等映射为向量，使所学习的特征可以计算和比较。	语义搜索、相似段落匹配、以图搜图。	5
perception	ASR 自动语音识别	把语音信号转换为文字转写；识别说话人和理解意图是另外的任务。	会议转写、语音输入。	6
perception	TTS 文本转语音	根据文字生成语音信号。	文章朗读、语音助手回复。	6
perception	VAD 语音活动检测	判断音频片段中是否存在语音。	切分输入和辅助实时对话轮次判断。	6
perception	VAE / GAN	VAE 学习可采样的潜在表示；GAN 通过生成器与判别器的对抗训练学习生成分布。	理解经典生成模型路线。	8
perception	Diffusion 扩散模型	学习从带噪状态恢复数据，并通过逐步去噪等采样过程生成内容。	图片生成、重绘与视频生成。	8
perception	Flow Matching 流匹配	学习将简单分布连续变换为目标数据分布的速度场。	理解另一类连续生成过程。	8
perception	多模态 / VLM	多模态系统处理多种数据类型；VLM 是结合视觉与语言的模型。	看图问答、图表理解、文档分析。	12
perception	跨模态对齐 / CLIP	对齐使不同模态的相关内容在表示上建立对应；CLIP 使用对比学习联系图像与文本。	用文字搜索图片。	12
perception	NeRF / 3D Gaussian Splatting	两种三维场景表示与新视角渲染技术，前者通常使用神经辐射场，后者使用三维高斯表示。	从多视角图像构建可换视角的场景。	4
model	Transformer	以注意力和前馈网络等部件构成的模型架构。	构建语言模型，也用于图像和音频。	7
model	Attention 注意力	比较查询与键形成分数，再加权组合值，使序列位置之间交换信息。	利用上下文中的相关内容；注意力分数不是可靠的推理解释。	7
model	Q / K / V	Query、Key、Value，即查询、键、值，是注意力计算中承担不同角色的向量。	理解匹配分数怎样决定信息组合。	7
model	Multi-Head Attention 多头注意力	在多个表示子空间分别计算注意力，再组合结果。	学习不同类型的上下文关联。	7
model	位置编码 / RoPE	位置编码为序列引入位置信息；RoPE 通过旋转查询和键向量表达位置关系。	区分词序、利用相对距离。	7
model	LLM 大语言模型	在大量语言相关数据上训练、通常具有较大参数规模的模型。	文本生成、理解、代码及工具调用决策。	10
model	自回归生成	根据已有序列预测后续 token，生成后再把它加入后续预测的上下文。	逐步生成一段回答。	7
model	预训练 / SFT	预训练学习广泛的数据规律；SFT 是利用示范输入输出进行监督微调。	建立基础能力并学习遵循任务指令。	10
model	Fine-tuning 微调	在已有模型上继续训练并调整参数，以适应任务或行为要求。	适应特定格式、风格和任务。	10
model	LoRA / QLoRA	LoRA 训练低秩适配参数以减少可训练参数；QLoRA 配合量化基础模型降低内存需求。	在较有限资源下微调模型，效果仍需评估。	11
model	RL 强化学习	通过与环境交互、接收奖励来学习行动策略。	连续决策、游戏、控制和奖励优化。	9
model	PPO 近端策略优化	通过约束更新目标等方式限制策略变化的一类强化学习算法。	较稳定地优化行动策略。	9
model	RLHF / DPO	RLHF 利用人类反馈引导训练；DPO 直接利用偏好样本优化相对输出倾向，无需经典流程中的在线 PPO 阶段。	让模型输出更符合偏好。	10
model	MoE 混合专家	路由机制选择部分专家网络参与计算，模型总参数与每次激活参数可以不同。	扩大容量并控制每次计算开销。	7
model	KV Cache	复用已处理 token 在注意力中的键和值，减少生成时的重复计算。	加快生成，同时需要存储这些中间结果。	7
model	量化 Quantization	使用较低精度表示模型权重或其他数值。	降低存储与内存需求，精度与速度收益需实测。	10
model	推测解码 Speculative Decoding	由较便宜的过程提出多个候选 token，再由目标模型验证。	在适当条件下加速生成。	7
application	API 应用程序接口	软件间按约定格式请求功能和交换数据的接口。	调用模型、查询业务数据。	11
application	Prompt Engineering 提示词工程	设计任务说明、示例和输出要求。	明确分析范围与报告格式。	11
application	Context Engineering 上下文工程	选择、组织和更新每次调用提供的资料、历史、状态与工具信息。	减少遗漏、干扰和不必要的输入。	11
application	Context Window 上下文窗口	一次调用可处理的 token 容量；输入输出限制因模型和服务而异。	判断长资料是否需要拆分、压缩或检索。	11
application	Structured Output 结构化输出	让结果遵循指定数据结构，通常还需要程序侧校验。	把合同信息提取成固定字段。	11
application	Schema 结构定义	描述字段名称、数据类型、必填项和约束的规则。	要求金额为数字、必须有来源字段。	13
application	RAG 检索增强生成	先检索相关资料，再把资料作为上下文提供给模型生成回答。	知识库问答与有依据的资料总结。	11
application	Chunking 文档分块	把长资料切成适合索引和检索的片段，并尽量保留必要语境。	让检索返回相关段落而不是整本手册。	11
application	向量数据库 / ANN	向量数据库存储和检索向量；ANN 是以近似搜索换取大规模检索效率的方法。	在大量资料中找相似内容。	11
application	Hybrid Search 混合检索	组合关键词与语义等不同检索信号。	兼顾精确型号、专有名词和近义表达。	11
application	Reranking 重排序	对初步召回的候选结果进行更细致的相关性评分与排序。	把最能回答问题的资料放在前面。	11
application	Tool / Function Calling 工具调用	模型提出工具名称和参数，由外部程序执行并返回结果。	计算、读取文件、查询库存。	13
application	MCP 模型上下文协议	约定 AI 应用与工具、资源等上下文服务之间的交互方式。	复用统一工具连接；实现时需核对协议版本。	13
application	Agent Skills 智能体技能	包含任务说明以及可选脚本、资源的技能包，由兼容宿主发现和使用。	复用资料整理、报告生成和审查方法。	13
application	JSON-RPC / stdio / HTTP	JSON-RPC 描述调用消息形式；stdio 和 HTTP 是不同的通信渠道。	理解客户端与工具服务怎样交换请求与结果。	13
application	OAuth 授权框架	让应用取得被许可的资源访问能力，通常通过令牌访问而非接收用户密码。	授权连接用户选择的数据或服务。	13
agent	Agent 智能体	让模型围绕目标选择行动、观察结果，并在运行规则下继续执行的软件系统。	检索资料、生成产物并执行检查。	14
agent	Agent Loop 执行循环	决策、工具执行、记录观察、再次决策，直到满足停止条件。	根据查询结果决定是否继续补充资料。	14
agent	ReAct	将推理与行动交替组织的一类智能体方法。	根据工具返回结果调整下一步。	14
agent	Plan-and-Execute 规划与执行	先拆解任务，再执行步骤，并在需要时调整计划。	组织竞品调研或多步骤资料处理。	14
agent	Workflow 工作流	预先规定步骤、条件与分支的流程，可以包含模型决策节点。	接收文件后依次提取、核验、归档。	14
agent	State Machine / Graph 状态机与状态图	通过状态、节点和转移条件组织执行路径。	校验失败返回修改，通过后进入交付。	14
agent	Agent Harness 运行支撑系统	管理模型周围的上下文、工具、状态、权限、预算与验证的运行环境。	让同一模型更可靠地完成长任务。	14
agent	Agent State 任务状态	当前运行的目标、已做操作、结果、剩余问题和预算等显式记录。	中断后知道做到哪里。	14
agent	Agent Memory 记忆	保存在模型之外、未来按需取用的经验、偏好或已核实信息。	跨任务复用项目事实，仍需可纠正和更新。	14
agent	Durable Execution 持久执行	可靠保存执行进度，使任务能够跨进程故障或中断恢复。	恢复长任务；还需防止重复副作用。	15
agent	Checkpoint / Rollback 检查点与回滚	检查点保存可恢复状态；回滚返回较早的可接受状态。	恢复进度或撤销错误修改。	15
agent	Multi-Agent / Orchestration 多智能体与编排	多个 Agent 分工，编排机制协调任务顺序、信息交换与结果汇总。	研究、执行和审查分工。	16
agent	A2A 智能体间协议	支持不同智能体服务发现能力、交换任务和协作的协议。	让不同系统中的 Agent 协作。	16
agent	HITL 人在回路中	在流程里保留人工输入、判断或批准的环节。	补充歧义需求和审阅重要结果。	15
agent	Verification Gate 验收关卡	根据检查与执行证据判定是否满足验收标准。	缺少必要检查结果时不标记完成。	14
agent	Scope Contract 范围契约	明确任务允许修改的范围、约束、输入输出与验收要求。	减少越界修改和目标漂移。	14
agent	Budget 执行预算	限制轮次、工具调用、时间或费用的资源边界。	防止无效循环与费用失控。	15
production	Inference / Serving 推理与推理服务	推理使用模型产生输出；服务系统负责接收、调度和持续处理请求。	向真实用户提供模型能力。	17
production	Batching 批处理	合并多个请求或计算任务以提高资源利用率。	提高吞吐量，但需权衡排队延迟。	17
production	Cache 缓存	保存可复用的输出或中间计算结果。	减少重复请求的时间与费用；需要有效性管理。	17
production	Model Routing 模型路由	按任务要求、费用、性能与可用性选择模型。	为不同难度任务分配合适模型。	17
production	Latency / Throughput 延迟与吞吐量	延迟是一次请求的等待时间；吞吐量是单位时间完成的工作量。	区分快速响应和承受大量并发。	17
production	TTFT / TPOT	TTFT 是首次返回 token 前的等待时间；TPOT 衡量输出阶段平均每个 token 的耗时。	定位启动慢还是生成慢。	17
production	Observability / Trace 可观测性与追踪	通过指标、日志与执行轨迹理解系统行为；Trace 串联一次任务的步骤。	定位问题发生在检索、模型还是工具。	17
production	OpenTelemetry OTel	采集、处理与传递追踪、指标、日志等遥测信息的标准与工具体系。	统一记录跨服务的执行过程。	17
production	Eval / Benchmark 评估与基准	评估测量指定能力；基准使用约定任务集合进行比较。	比较模型、提示词和应用版本。	17
production	Precision / Recall 精确率与召回率	精确率看找出的结果有多少相关；召回率看相关结果找到了多少。	分别观察误检与漏检。	19
production	Faithfulness 忠实度	回答中的主张是否受所提供资料支持；不等于资料本身一定真实。	检查回答有没有添加无依据的内容。	19
production	Guardrails / Sandbox 防护规则与沙箱	防护规则检查或约束行为；沙箱限制程序能访问和影响的环境。	校验输出并限制执行范围。	18
production	Prompt Injection 提示注入	不可信输入试图改变系统原本应遵循的任务或规则。	识别网页或文件中误导 Agent 的指令。	18
production	Red Teaming 红队测试	有组织地尝试使系统失败，以发现薄弱点。	测试错误调用、越权或信息泄漏。	18
production	Alignment 对齐	使模型或系统行为更符合预期目标、约束和人类偏好的工作。	检查是否优化了表面指标却违背真实意图。	18
production	Audit Log / Data Governance 审计与数据治理	审计记录关键行为；数据治理明确来源、权限、质量和使用规则。	追查行为及其数据依据。	18
production	Canary / A/B Test 灰度与对照实验	灰度先向少量流量发布；A/B 把不同版本分配给不同组比较效果。	控制发布影响并衡量产品变化。	17
production	Capstone 综合实践	组合多个模块完成端到端任务的实践项目。	交付有运行记录和验收结果的知识助手或 Agent。	19
